time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.37818180212263e-08,-4.40171761185435e-09,10.003563292851478,6.282804729158332,6.282983814366755,0.0,1.2607051783655338e-05,-1.517544359878668e-05,0.11877070197687387,-0.023716516700752165,-0.011102242076439232,0.0,443.3690143273623,442.45615553465007,443.69275322256163,441.7417905715037
0.12000000000000001,8.408803537522017e-06,-1.578040400827206e-05,10.016217370473752,6.280958210085412,6.282284505717399,0.0,0.0003426865073263626,-0.0006906377973946203,0.3030001821507546,-0.05117014621668036,-0.012784522025951383,0.0,462.24231965573944,462.10988148312873,464.66698071171095,462.50974785978786
0.18,5.4136105530609884e-05,-0.00012450779182975787,10.040793153037887,6.2778317106699415,6.28121452060007,0.0,0.0012874377393539448,-0.0033012890659979578,0.5161188159050276,-0.05405323909786642,-0.030563465622114486,0.0,471.83762390806453,470.4633308956289,472.0701333405351,471.84605783497574
0.23999999999999996,0.00018149969770092232,-0.0004521650016506907,10.075859896871204,6.274546039367882,6.279533264656582,0.0,0.0031461987750867446,-0.007970843467779693,0.652701285102863,-0.05621547788851618,-0.023368073317177787,0.0,447.51317138146084,448.09818253351796,449.6041219789516,449.4269573646587
0.3,0.0004513175700614943,-0.0011230090973746417,10.118158470221685,6.271230133972221,6.2784116661673295,0.0,0.005975662766625171,-0.014733335186528028,0.7571833473122442,-0.053429729847132464,-0.010684959703538062,0.0,438.0047554778575,439.05815938700096,438.9300994341547,439.1590940380372
0.36000000000000004,0.0008937794017137244,-0.002222129774826746,10.163072425325428,6.268011364932429,6.277661820886401,0.0,0.008831764184432041,-0.022176088879766097,0.7399560328016979,-0.05408237091480981,-0.01639383669564162,0.0,398.25471566815725,397.73237135031974,399.22178164580095,399.15997570816353
0.4200000000000001,0.0015419115972545333,-0.0038812795048540232,10.210667537807803,6.265150630985483,6.2772792768458885,0.0,0.01283725025275747,-0.03343968510357148,0.8464688301456983,-0.03723973358392083,0.008497596162513344,0.0,438.27954154057556,440.3432697844789,439.1329574314571,440.5261839220781
0.48000000000000015,0.002437225121442893,-0.006284744226939714,10.265334199814397,6.263182967270643,6.277900296641075,0.0,0.01694554743920766,-0.04689609264108345,0.9756474117739266,-0.025127844722793145,0.013819757059071035,0.0,447.5330136685618,447.965820323113,445.4523336891629,446.4411134400543
0.5400000000000001,0.0035631289154595693,-0.00952870255956054,10.327490305471237,6.26259929982583,6.27875389132797,0.0,0.020495599570716914,-0.06133252662452975,1.0961127664808974,0.010496136586455264,0.015028026541449302,0.0,444.2408596725748,444.33980183889423,442.9837926332745,445.9032079588318
0.6000000000000002,0.00488211824737094,-0.013640827392443976,10.396714670078563,6.263411220024604,6.280262202298633,0.0,0.023339094381655122,-0.07566040140643732,1.211252583450057,0.019000836614512222,0.04011352692021548,0.0,441.33991488353723,443.4054308382804,443.1579481355634,443.85627900003965
0.6600000000000003,0.006333975808676803,-0.01858657785582749,10.472489733902052,6.264693109277102,6.2824294617782,0.0,0.02481987471210286,-0.08907155177408131,1.314472284940945,0.02571651625212855,0.026620851459304373,0.0,439.3286068147997,438.20914878732407,439.82608754324826,440.38188294799426
0.7200000000000003,0.007832763776255082,-0.02430838943343942,10.554437566014835,6.266490929054591,0.0007117500091080586,0.0,0.02498233811762095,-0.10148149177043235,1.4170033568306835,0.03733224648583908,0.019744620542124267,0.0,439.8548753184536,439.2851960519471,438.87640592092174,439.8396512154935
0.7800000000000004,0.009307951612996733,-0.030799370075241705,10.64651555555282,6.269144585765844,0.0023851931030201,0.0,0.02401215377917334,-0.11457823711630251,1.6519581132576417,0.05531888770456611,0.04056764843695314,0.0,479.3298899068045,480.90971475289575,478.7456740131706,480.1130759050196
0.8400000000000004,0.01068521714108254,-0.03797505444243842,10.750369963670297,6.272539276241034,0.004693399377892149,0.0,0.02163484122279543,-0.12423745539911941,1.8096235550322999,0.05898381679282293,0.03390634125856337,0.0,457.46901956515404,456.93901043678505,457.62443799331317,457.9181306316464
0.9000000000000005,0.011872272882061182,-0.045648501188279754,10.86319188990763,6.275635709584215,0.006393129468245995,0.0,0.01772937427373103,-0.13117599389007342,1.950879881183364,0.029728474350189958,0.013810436036542535,0.0,454.0454759475928,452.4306698076755,453.8790394728292,451.5266933323236
0.9600000000000005,0.012807694868229717,-0.053660085176945614,10.98203158577783,6.277146541785836,0.007989749769264698,0.0,0.01332815536568738,-0.13571632068435607,2.0103410634883074,0.014033142445634656,0.044406580656216554,0.0,426.458276350536,429.06378121254596,428.1456516292529,426.8084030416665
1.0200000000000005,0.013411371737568357,-0.06193830308328709,11.107940952864535,6.2783089736934095,0.011487975066322598,0.0,0.006438115636462698,-0.14010726576027327,2.186315896226078,0.02834718886328058,0.07715322961532538,0.0,463.4383909166472,466.0070498326886,463.1335932003874,464.25795141948174
1.0800000000000005,0.013499522199399911,-0.07045521967801589,11.245604320116346,6.280288122416561,0.016171872088501793,0.0,-0.004049181792413007,-0.1435676497402616,2.4020298007173477,0.04093995789813391,0.07982771814276143,0.0,477.2704075077053,477.47887050473133,475.42887040576517,476.39302315711217
1.1400000000000006,0.01285427057672639,-0.07912775416158793,11.395650726953624,6.282475787321596,0.020880124041906534,0.0,-0.018004587296382286,-0.14524374868988474,2.5990820623051736,0.02552559210313495,0.0756106590595676,0.0,472.23039508682865,471.909516799142,472.6392150506017,471.4502651795088
